Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
14,Allan,br BRA,MF,Flamengo,28-232,1997,7.6,515,552,93.3,9085,2072,230,239,96.2,243,255,95.3,39,52,75.0,0,0.1,0.5,-0.1,5,76,11,0,52,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-185,2004,6.0,147,188,78.2,2310,570,71,84,84.5,63,75,84.0,10,17,58.8,2,0.6,0.3,+1.4,8,7,2,0,15,Matches
16,Allan,br BRA,"MF,FW",Botafogo (RJ),34-286,1991,8.0,414,459,90.2,7000,1994,194,203,95.6,175,192,91.1,33,43,76.7,0,0.2,0.6,-0.2,4,45,8,2,43,Matches
17,Allanzinho,br BRA,"MF,FW",Fortaleza,25-200,2000,2.8,56,78,71.8,817,238,35,42,83.3,15,20,75.0,5,11,45.5,2,1.4,0.6,+0.6,6,2,5,4,2,Matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-254,1993,21.6,1255,1439,87.2,23488,8858,442,473,93.4,671,736,91.2,124,185,67.0,1,0.2,0.5,+0.8,6,124,7,2,120,Matches
19,Matheus Alves,br BRA,"MF,FW",São Paulo,20-230,2005,4.1,95,122,77.9,1328,247,55,63,87.3,28,35,80.0,5,12,41.7,1,0.7,0.4,+0.3,3,7,3,0,12,Matches
20,Francis Amuzu,be BEL,FW,Grêmio,26-059,1999,7.0,153,198,77.3,2433,502,87,101,86.1,47,58,81.0,15,27,55.6,1,1.6,0.9,-0.6,11,10,8,4,13,Matches
21,Felipe Anderson,br BRA,"MF,FW",Palmeiras,32-189,1993,15.3,588,704,83.5,8829,2396,319,351,90.9,219,252,86.9,21,37,56.8,2,1.5,1.3,+0.5,21,48,21,1,81,Matches
22,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-191,2005,1.8,42,65,64.6,733,235,25,31,80.6,12,23,52.2,5,10,50.0,1,0.4,0.1,+0.6,2,8,2,0,10,Matches
23,André,br BRA,"MF,FW",Corinthians,19-123,2006,1.4,28,43,65.1,486,142,11,15,73.3,13,18,72.2,3,4,75.0,0,0.0,0.0,0.0,0,3,1,0,3,Matches
24,José Andrés Martínez,ve VEN,MF,Corinthians,31-075,1994,12.0,422,526,80.2,8183,2148,178,205,86.8,177,209,84.7,59,79,74.7,1,0.9,1.0,+0.1,9,51,9,3,57,Matches
25,Wilker Ángel,ve VEN,DF,Juventude,32-217,1993,13.7,452,528,85.6,9275,3213,122,125,97.6,275,297,92.6,53,103,51.5,0,0.0,0.0,0.0,1,11,0,0,23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Fabrizio Angileri,ar ARG,DF,Corinthians,31-220,1994,13.8,701,886,79.1,13206,4764,295,327,90.2,315,382,82.5,85,132,64.4,0,0.6,0.5,-0.6,9,59,7,5,60,Matches
27,Anthoni,br BRA,GK,Internacional,23-271,2002,16.5,288,411,70.1,7572,5587,69,71,97.2,131,132,99.2,82,202,40.6,0,0.0,0.0,0.0,1,5,0,0,0,Matches
28,Marcos Antônio,br BRA,MF,São Paulo,25-130,2000,15.8,740,834,88.7,12178,3001,365,399,91.5,296,317,93.4,55,64,85.9,3,2.4,2.3,+0.6,20,84,18,1,89,Matches
29,Léo Aragão,br BRA,GK,Cruzeiro,23-185,2002,2.7,56,70,80.0,1445,783,8,8,100.0,37,37,100.0,11,25,44.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
30,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-190,1997,11.7,623,723,86.2,9731,2743,350,370,94.6,227,261,87.0,38,59,64.4,1,1.5,1.9,-0.5,13,44,19,11,72,Matches
31,Willian Arão,br BRA,MF,Santos,32-322,1992,0.8,39,45,86.7,611,221,20,23,87.0,17,18,94.4,2,3,66.7,0,0.0,0.0,0.0,0,5,0,0,7,Matches
32,Luiz Araújo,br BRA,"FW,MF",Flamengo,29-141,1996,15.1,502,655,76.6,8246,1953,257,291,88.3,185,218,84.9,43,91,47.3,2,3.4,2.8,-1.4,31,37,17,3,74,Matches
33,Matheus Araújo,br BRA,"MF,FW",Ceará,23-152,2002,3.0,66,90,73.3,1162,408,31,41,75.6,23,26,88.5,8,13,61.5,1,0.6,0.3,+0.4,5,12,5,2,15,Matches
34,Michel Araujo,uy URU,"MF,FW",Bahia,29-023,1996,6.8,232,278,83.5,3573,907,127,142,89.4,83,92,90.2,16,29,55.2,1,0.4,0.4,+0.6,10,20,9,1,31,Matches
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-045,2002,5.7,129,159,81.1,1888,399,71,80,88.8,46,54,85.2,5,7,71.4,0,0.8,0.8,-0.8,6,5,7,3,10,Matches
36,Robert Arboleda,ec ECU,DF,São Paulo,33-364,1991,17.2,791,868,91.1,15385,4785,240,249,96.4,472,493,95.7,71,110,64.5,0,0.0,0.1,0.0,0,24,0,0,14,Matches
37,Lucas Arcanjo,br BRA,GK,Vitória,27-074,1998,28.0,553,803,68.9,16842,11740,63,63,100.0,301,307,98.0,186,429,43.4,0,0.1,0.0,-0.1,3,14,0,0,1,Matches
38,Matias Arezo,uy URU,FW,Grêmio,22-334,2002,3.0,32,55,58.2,508,98,17,31,54.8,12,13,92.3,2,4,50.0,1,0.8,0.2,+0.2,6,3,2,1,5,Matches
39,Jhon Arias,co COL,FW,Fluminense,28-030,1997,12.0,610,732,83.3,8431,2112,375,405,92.6,163,189,86.2,30,74,40.5,4,2.9,3.0,+1.1,33,37,24,10,55,Matches
40,Santiago Arias,co COL,DF,Bahia,33-281,1992,9.3,527,621,84.9,8263,3080,262,285,91.9,236,263,89.7,18,35,51.4,0,0.3,0.6,-0.3,5,44,7,5,42,Matches
41,Keny Arroyo,ec ECU,FW,Cruzeiro,19-249,2006,2.5,80,91,87.9,1110,241,44,47,93.6,25,28,89.3,3,4,75.0,1,0.7,0.3,+0.3,6,4,3,1,8,Matches
42,Arthur,br BRA,FW,Sport Recife,22-223,2003,2.2,26,30,86.7,348,42,16,18,88.9,9,10,90.0,0,0,,0,0.3,0.1,-0.3,8,1,0,0,1,Matches
43,Artur,br BRA,"FW,MF",Botafogo (RJ),27-248,1998,15.4,362,468,77.4,5895,1468,182,211,86.3,144,186,77.4,25,46,54.3,4,2.8,3.0,+1.2,30,26,24,6,58,Matches
44,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,23-113,2002,5.8,249,312,79.8,4680,1081,118,133,88.7,85,102,83.3,39,62,62.9,0,0.6,1.2,-0.6,13,30,3,0,38,Matches
45,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-237,2000,2.1,65,81,80.2,868,161,40,47,85.1,18,22,81.8,3,3,100.0,0,0.2,0.1,-0.2,4,5,2,1,5,Matches
46,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,25-114,2000,1.8,16,27,59.3,186,24,15,16,93.8,1,5,20.0,0,1,0.0,0,0.1,0.0,-0.1,3,0,0,0,0,Matches
47,Leo Augusto Pereira,br BRA,FW,Sport Recife,25-114,2000,6.0,46,89,51.7,681,228,24,29,82.8,18,34,52.9,2,10,20.0,1,1.0,0.6,0.0,4,2,6,3,6,Matches
48,Renato Augusto,br BRA,"MF,FW",Fluminense,37-255,1988,0.2,3,3,100.0,53,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Gastón Ávila,ar ARG,DF,Fortaleza,24-021,2001,15.8,580,756,76.7,12130,4800,185,209,88.5,296,339,87.3,92,184,50.0,0,0.2,0.4,-0.2,5,44,8,3,49,Matches
50,Aylon,br BRA,"FW,MF",Ceará,33-197,1992,7.5,113,166,68.1,1575,373,79,99,79.8,28,42,66.7,4,7,57.1,0,0.1,0.2,-0.1,2,7,5,2,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Matheus Babi,br BRA,FW,Juventude,28-095,1997,4.6,46,73,63.0,601,68,30,40,75.0,16,25,64.0,0,1,0.0,0,0.1,0.2,-0.1,3,2,1,0,3,Matches
52,Bahia,br BRA,MF,Corinthians,19-292,2006,0.5,13,17,76.5,169,63,8,9,88.9,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
53,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26-331,1998,1.6,91,102,89.2,1476,517,41,44,93.2,42,45,93.3,6,10,60.0,0,0.0,0.0,0.0,0,7,0,0,7,Matches
54,Matheus Bahia,br BRA,DF,Ceará,26-071,1999,18.6,605,804,75.2,10567,4577,274,318,86.2,263,335,78.5,60,110,54.5,1,1.3,2.0,-0.3,17,55,24,22,59,Matches
55,Fabián Balbuena,py PAR,DF,Grêmio,34-059,1991,2.5,143,167,85.6,2729,1151,50,57,87.7,73,80,91.3,16,25,64.0,0,0.0,0.0,0.0,1,9,0,0,7,Matches
56,Gabriel Baralhas,br BRA,MF,Vitória,27-011,1998,19.5,549,664,82.7,9395,2710,263,299,88.0,235,267,88.0,41,62,66.1,1,0.4,0.7,+0.6,11,61,11,1,66,Matches
57,Danilo Barbosa,br BRA,"DF,MF",Botafogo (RJ),29-235,1996,0.4,12,12,100.0,199,101,6,6,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
58,Diogo Barbosa,br BRA,DF,Fortaleza,33-065,1992,8.7,259,318,81.4,3866,1477,141,150,94.0,96,118,81.4,11,29,37.9,0,0.8,0.8,-0.8,10,21,5,2,28,Matches
59,Gabriel Barbosa,br BRA,"FW,MF",Cruzeiro,29-052,1996,8.6,177,212,83.5,2664,659,106,116,91.4,45,53,84.9,16,23,69.6,2,1.0,0.9,+1.0,9,16,7,1,29,Matches
60,Lucas Barbosa,br BRA,"FW,MF",RB Bragantino,24-241,2001,17.9,313,470,66.6,5178,1207,156,203,76.8,130,177,73.4,22,51,43.1,2,1.2,0.9,+0.8,11,21,10,4,32,Matches
61,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-219,1995,17.9,921,1100,83.7,18144,7499,292,314,93.0,514,567,90.7,102,193,52.8,0,0.1,0.2,-0.1,2,79,2,0,75,Matches
62,Adam Bareiro,py PAR,FW,Fortaleza,29-087,1996,2.8,47,68,69.1,662,122,26,34,76.5,14,20,70.0,3,4,75.0,0,0.0,0.3,0.0,0,3,2,0,6,Matches
63,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,24-108,2001,14.9,305,442,69.0,4102,1299,196,236,83.1,74,107,69.2,16,37,43.2,0,1.8,2.9,-1.8,13,28,17,4,41,Matches
64,Álvaro Barreal,ar ARG,"FW,MF",Santos,25-065,2000,17.5,532,704,75.6,9406,2807,277,321,86.3,187,230,81.3,60,120,50.0,1,2.8,2.4,-1.8,32,43,16,7,51,Matches
65,Jordan Barrera,co COL,FW,Botafogo (RJ),19-193,2006,0.0,1,1,100.0,68,37,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
66,Cauan Barros,br BRA,MF,Vasco da Gama,21-168,2004,7.8,378,431,87.7,6687,1883,161,182,88.5,187,200,93.5,25,39,64.1,0,0.2,0.2,-0.2,5,40,0,0,32,Matches
67,Enmerson Batalla,co COL,"FW,MF",Juventude,24-113,2001,14.6,237,340,69.7,4022,1003,116,137,84.7,86,120,71.7,27,54,50.0,2,0.7,0.9,+1.3,13,22,13,7,34,Matches
68,Paulo Baya,br BRA,FW,Ceará,26-087,1999,3.3,68,96,70.8,1149,266,37,45,82.2,22,32,68.8,8,16,50.0,0,0.3,0.3,-0.3,4,4,4,2,5,Matches
69,Paulo Baya,br BRA,"MF,FW",Fluminense,26-087,1999,0.4,14,18,77.8,174,34,10,11,90.9,4,5,80.0,0,0,,1,0.0,0.0,+1.0,1,0,1,0,1,Matches
70,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-221,1997,13.2,565,694,81.4,8949,2001,317,348,91.1,203,251,80.9,35,71,49.3,2,1.6,2.2,+0.4,15,30,13,9,33,Matches
71,Erick Belé,br BRA,MF,Palmeiras,18-273,2007,0.1,3,4,75.0,68,56,1,1,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
72,Luis Benedetti,br BRA,DF,Palmeiras,19-136,2006,2.0,80,86,93.0,1497,447,24,26,92.3,47,49,95.9,8,9,88.9,0,0.0,0.3,0.0,1,5,2,0,8,Matches
73,Alan Benítez,py PAR,"DF,FW",Internacional,31-269,1994,5.1,201,257,78.2,3405,1394,91,101,90.1,86,111,77.5,18,28,64.3,0,0.5,0.4,-0.5,6,16,6,1,21,Matches
74,Alexandro Bernabei,ar ARG,DF,Internacional,25-027,2000,20.2,953,1244,76.6,15782,5627,484,542,89.3,375,472,79.4,76,150,50.7,4,4.4,3.2,-0.4,37,71,28,17,93,Matches
75,Facundo Bernal,uy URU,MF,Fluminense,22-061,2003,9.2,379,449,84.4,6509,1719,176,197,89.3,157,174,90.2,34,58,58.6,0,0.1,0.2,-0.1,4,41,3,0,28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Bernard,br BRA,"MF,FW",Atlético Mineiro,33-043,1992,7.0,313,387,80.9,4878,1208,167,191,87.4,112,130,86.2,24,33,72.7,0,1.1,1.1,-1.1,20,23,15,5,45,Matches
77,Matheus Bianqui,br BRA,"MF,FW",Mirassol,27-263,1998,1.6,22,38,57.9,274,69,16,21,76.2,5,8,62.5,1,3,33.3,0,0.5,0.2,-0.5,1,0,1,0,2,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,26-170,1999,15.4,741,943,78.6,12974,4613,325,373,87.1,348,407,85.5,61,114,53.5,2,3.7,2.9,-1.7,25,54,13,8,57,Matches
79,Biel,br BRA,"FW,MF",Atlético Mineiro,24-203,2001,5.0,117,150,78.0,1691,353,67,77,87.0,41,44,93.2,4,7,57.1,2,2.2,1.5,-0.2,7,8,4,2,12,Matches
80,Rafael Bilu,br BRA,"MF,FW",Juventude,26-183,1999,3.6,77,103,74.8,1205,358,41,47,87.2,26,36,72.2,5,9,55.6,0,0.3,0.4,-0.3,6,5,3,2,14,Matches
81,Damián Bobadilla,py PAR,MF,São Paulo,24-102,2001,16.7,791,903,87.6,13709,3706,359,392,91.6,343,380,90.3,73,89,82.0,1,0.9,1.6,+0.1,14,91,26,2,95,Matches
82,Yannick Bolasie,cd COD,"FW,MF",Cruzeiro,36-150,1989,1.6,22,49,44.9,357,119,10,20,50.0,9,17,52.9,1,3,33.3,1,0.3,0.0,+0.7,1,2,0,0,2,Matches
83,Gabriel Bontempo,br BRA,"MF,FW",Santos,20-278,2005,10.2,348,408,85.3,5507,1611,181,200,90.5,147,166,88.6,16,23,69.6,1,1.6,0.8,-0.6,11,31,6,1,52,Matches
84,Thiago Borbas,uy URU,"FW,MF",RB Bragantino,23-197,2002,6.2,89,132,67.4,1217,243,56,72,77.8,27,38,71.1,4,7,57.1,1,0.8,0.3,+0.2,8,5,2,0,8,Matches
85,Daniel Borges,br BRA,DF,Mirassol,32-212,1993,7.5,308,386,79.8,5103,1990,154,171,90.1,124,150,82.7,23,47,48.9,1,1.6,1.5,-0.6,13,13,8,6,16,Matches
86,Marllon Borges,br BRA,DF,Ceará,33-188,1992,21.0,563,655,86.0,11698,4431,156,169,92.3,322,351,91.7,81,120,67.5,0,0.0,0.1,0.0,2,24,1,0,33,Matches
87,Pedro Borges,br BRA,MF,Fortaleza,28-232,1997,0.4,23,25,92.0,410,90,9,9,100.0,12,13,92.3,2,2,100.0,0,0.0,0.0,0.0,0,3,1,0,3,Matches
88,Pedro Borges,br BRA,MF,Sport Recife,28-232,1997,3.3,130,151,86.1,2070,548,65,71,91.5,60,65,92.3,4,11,36.4,0,0.1,0.1,-0.1,2,13,2,0,11,Matches
89,Rafael Borré,co COL,FW,Internacional,30-036,1995,13.5,207,271,76.4,2893,439,119,145,82.1,64,79,81.0,11,19,57.9,1,1.1,1.0,-0.1,11,13,0,0,14,Matches
90,Lucas Braga,br BRA,"FW,DF",Vitória,28-345,1996,9.6,218,272,80.1,3380,920,115,132,87.1,79,96,82.3,16,26,61.5,0,0.7,0.8,-0.7,5,17,5,0,26,Matches
91,Bilal Brahimi,dz ALG,FW,Santos,25-221,2000,0.2,9,13,69.2,162,69,3,3,100.0,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,3,Matches
92,Martin Braithwaite,dk DEN,FW,Grêmio,34-138,1991,16.2,201,265,75.8,3067,569,109,136,80.1,72,92,78.3,12,16,75.0,1,0.8,0.8,+0.2,16,18,5,0,27,Matches
93,Gabriel Brazão,br BRA,GK,Santos,25-016,2000,27.7,457,630,72.5,12575,8657,88,88,100.0,234,236,99.2,134,301,44.5,0,0.2,0.0,-0.2,1,5,0,0,0,Matches
94,Brenno,br BRA,GK,Fortaleza,26-203,1999,5.0,90,119,75.6,2345,1889,19,19,100.0,42,43,97.7,29,56,51.8,0,0.0,0.0,0.0,1,1,0,0,0,Matches
95,Breno,br BRA,"FW,MF",Fortaleza,29-270,1996,16.9,431,559,77.1,6826,1191,226,254,89.0,157,195,80.5,35,66,53.0,0,1.5,1.4,-1.5,27,40,14,5,55,Matches
96,Breno,br BRA,MF,Corinthians,20-243,2005,22.5,901,1050,85.8,15667,3664,411,454,90.5,390,424,92.0,80,115,69.6,1,2.0,1.2,-1.0,23,103,10,3,111,Matches
97,Emanuel Brítez,ar ARG,DF,Fortaleza,33-209,1992,10.7,445,536,83.0,7929,3383,192,207,92.8,215,242,88.8,33,67,49.3,1,0.1,0.3,+0.9,4,46,4,2,38,Matches
98,Bruninho,br BRA,MF,Fortaleza,20-132,2005,0.8,24,30,80.0,360,60,16,17,94.1,6,8,75.0,1,3,33.3,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
99,Fabrício Bruno,br BRA,DF,Cruzeiro,29-251,1996,26.0,1036,1202,86.2,21954,9144,298,325,91.7,540,581,92.9,183,256,71.5,0,0.6,0.4,-0.6,5,86,5,1,86,Matches
100,Gustavo Caballero,py PAR,"FW,DF",Santos,24-030,2001,3.3,45,74,60.8,665,128,28,35,80.0,7,18,38.9,5,7,71.4,1,0.7,0.6,+0.3,1,1,5,3,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Arthur Cabral,br BRA,FW,Botafogo (RJ),27-179,1998,11.4,120,149,80.5,1752,373,68,78,87.2,42,50,84.0,6,10,60.0,2,0.7,0.3,+1.3,12,8,6,0,19,Matches
102,Cacá,br BRA,DF,Corinthians,26-179,1999,14.9,929,982,94.6,18850,5435,219,231,94.8,594,610,97.4,107,127,84.3,0,0.2,0.4,-0.2,2,35,1,0,36,Matches
103,Raúl Cáceres,py PAR,DF,Vitória,34-033,1991,14.0,396,546,72.5,7031,3083,184,209,88.0,160,210,76.2,43,94,45.7,1,1.4,0.7,-0.4,10,36,10,7,40,Matches
104,Calebe,br BRA,MF,Fortaleza,25-174,2000,2.5,67,84,79.8,931,280,40,47,85.1,20,27,74.1,4,6,66.7,0,0.4,0.3,-0.4,5,8,1,0,6,Matches
105,Jonathan Calleri,ar ARG,FW,São Paulo,32-028,1993,1.3,12,14,85.7,181,41,9,10,90.0,2,2,100.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
106,Camilo,br BRA,"MF,DF",Grêmio,26-240,1999,7.8,179,234,76.5,3061,1038,84,99,84.8,77,98,78.6,14,26,53.8,0,0.1,0.1,-0.1,1,20,2,0,15,Matches
107,Camutanga,br BRA,DF,Vitória,32-024,1993,6.8,174,200,87.0,3226,1151,60,62,96.8,99,105,94.3,13,26,50.0,0,0.0,0.1,0.0,0,6,2,0,11,Matches
108,Luan Cândido,br BRA,DF,Sport Recife,24-261,2001,7.0,258,318,81.1,4231,1562,122,130,93.8,113,133,85.0,17,38,44.7,0,0.5,0.4,-0.5,8,20,4,3,28,Matches
109,Germán Cano,ar ARG,FW,Fluminense,37-261,1988,16.2,253,340,74.4,3905,659,149,186,80.1,70,87,80.5,24,38,63.2,0,0.7,0.8,-0.7,9,19,5,2,26,Matches
110,Agustín Canobbio,uy URU,"FW,MF",Fluminense,27-020,1998,14.9,368,470,78.3,4822,1135,249,283,88.0,87,112,77.7,14,30,46.7,2,1.4,0.6,+0.6,14,15,10,1,30,Matches
111,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-253,1996,7.3,138,201,68.7,2393,753,70,82,85.4,50,68,73.5,14,38,36.8,2,1.7,1.4,+0.3,13,11,7,3,23,Matches
112,Juninho Capixaba,br BRA,DF,RB Bragantino,28-107,1997,14.3,679,862,78.8,12993,5408,271,318,85.2,306,367,83.4,90,135,66.7,0,2.4,2.8,-2.4,21,76,16,6,94,Matches
113,Johan Carbonero,co COL,"FW,MF",Internacional,26-093,1999,11.5,286,357,80.1,4143,1125,172,208,82.7,88,104,84.6,16,25,64.0,2,2.7,2.1,-0.7,22,23,15,2,58,Matches
114,Felipe Cardoso,br BRA,FW,Vitória,22-231,2003,0.9,14,19,73.7,245,130,7,8,87.5,6,8,75.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,3,2,1,Matches
115,Edson Carioca,br BRA,FW,Mirassol,28-109,1997,13.0,157,218,72.0,2089,650,91,119,76.5,50,69,72.5,6,9,66.7,2,1.8,2.1,+0.2,18,12,13,4,31,Matches
116,Igor Cariús,br BRA,DF,Sport Recife,32-173,1993,14.5,445,635,70.1,7360,3249,214,260,82.3,191,255,74.9,31,77,40.3,0,0.7,1.5,-0.7,9,31,16,7,58,Matches
117,Carlinhos,br BRA,FW,Vitória,28-251,1997,1.8,26,36,72.2,341,104,15,19,78.9,8,11,72.7,0,0,,0,0.0,0.0,0.0,0,6,0,0,6,Matches
118,Antonio Carlos,br BRA,DF,Sport Recife,32-228,1993,3.0,112,121,92.6,2317,830,22,23,95.7,77,80,96.3,10,11,90.9,0,0.0,0.0,0.0,0,3,0,0,4,Matches
119,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-248,1992,2.3,40,70,57.1,726,286,19,23,82.6,15,19,78.9,6,23,26.1,0,0.6,0.5,-0.6,5,8,0,0,6,Matches
120,Ruan Carneiro,br BRA,GK,Juventude,35-207,1990,3.0,67,96,69.8,1926,986,1,1,100.0,45,45,100.0,21,49,42.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
121,Jorge Carrascal,co COL,"FW,MF",Flamengo,27-149,1998,4.4,146,193,75.6,2240,686,87,103,84.5,33,42,78.6,19,30,63.3,4,0.8,1.0,+3.2,9,16,8,4,20,Matches
122,André Carrillo,pe PER,MF,Corinthians,34-129,1991,10.2,604,686,88.0,11286,2753,233,253,92.1,288,320,90.0,73,86,84.9,0,1.4,1.9,-1.4,14,69,9,4,60,Matches
123,Gabriel Carvalho,br BRA,FW,Internacional,18-065,2007,0.8,34,40,85.0,505,163,16,18,88.9,9,10,90.0,4,4,100.0,0,0.0,0.0,0.0,0,4,1,0,6,Matches
