Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches
39,Jhon Arias,co COL,FW,Fluminense,28-030,1997,12,12,1079,12.0,1,4,5,0,1,1,1,0,2.2,1.4,2.9,4.3,48,55,106,0.08,0.33,0.42,0.00,0.33,0.18,0.24,0.42,0.12,0.36,Matches
40,Santiago Arias,co COL,DF,Bahia,33-281,1992,14,8,834,9.3,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.5,14,42,40,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
41,Keny Arroyo,ec ECU,FW,Cruzeiro,19-249,2006,5,2,228,2.5,0,1,1,0,0,0,1,0,0.5,0.5,0.7,1.2,13,8,32,0.00,0.39,0.39,0.00,0.39,0.18,0.29,0.47,0.18,0.47,Matches
42,Arthur,br BRA,FW,Sport Recife,22-223,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,1,1,11,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27,Matches
43,Artur,br BRA,"FW,MF",Botafogo (RJ),27-248,1998,21,16,1386,15.4,2,4,6,2,0,0,1,0,3.4,3.4,2.8,6.2,54,58,149,0.13,0.26,0.39,0.13,0.39,0.22,0.18,0.41,0.22,0.41,Matches
44,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,23-113,2002,17,2,520,5.8,0,0,0,0,0,0,1,0,1.0,1.0,0.6,1.6,18,38,45,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.28,0.17,0.28,Matches
45,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-237,2000,10,2,192,2.1,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,5,28,0.00,0.00,0.00,0.00,0.00,0.19,0.08,0.26,0.19,0.26,Matches
46,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,25-114,2000,6,0,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,0,16,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
47,Leo Augusto Pereira,br BRA,FW,Sport Recife,25-114,2000,9,7,543,6.0,0,1,1,0,0,0,0,0,1.0,1.0,1.0,1.9,17,6,43,0.00,0.17,0.17,0.00,0.17,0.16,0.16,0.32,0.16,0.32,Matches
48,Renato Augusto,br BRA,"MF,FW",Fluminense,37-255,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Gastón Ávila,ar ARG,DF,Fortaleza,24-021,2001,17,15,1421,15.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.6,10,49,15,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
50,Aylon,br BRA,"FW,MF",Ceará,33-197,1992,17,8,677,7.5,2,0,2,2,0,0,2,0,2.6,2.6,0.1,2.6,7,16,40,0.27,0.00,0.27,0.27,0.27,0.34,0.01,0.35,0.34,0.35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Matheus Babi,br BRA,FW,Juventude,28-095,1997,17,2,410,4.6,2,0,2,2,0,0,4,0,2.0,2.0,0.1,2.1,1,3,16,0.44,0.00,0.44,0.44,0.44,0.45,0.02,0.47,0.45,0.47,Matches
52,Bahia,br BRA,MF,Corinthians,19-292,2006,2,1,49,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,1,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
53,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26-331,1998,3,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
54,Matheus Bahia,br BRA,DF,Ceará,26-071,1999,19,19,1670,18.6,0,1,1,0,0,0,4,0,0.2,0.2,1.3,1.5,29,59,67,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,Matches
55,Fabián Balbuena,py PAR,DF,Grêmio,34-059,1991,3,3,225,2.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,3,7,1,0.40,0.00,0.40,0.40,0.40,0.06,0.01,0.07,0.06,0.07,Matches
56,Gabriel Baralhas,br BRA,MF,Vitória,27-011,1998,22,20,1758,19.5,1,1,2,1,0,0,8,0,1.0,1.0,0.4,1.4,12,66,23,0.05,0.05,0.10,0.05,0.10,0.05,0.02,0.07,0.05,0.07,Matches
57,Danilo Barbosa,br BRA,"DF,MF",Botafogo (RJ),29-235,1996,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
58,Diogo Barbosa,br BRA,DF,Fortaleza,33-065,1992,13,8,784,8.7,1,0,1,1,0,0,1,0,0.6,0.6,0.8,1.3,12,28,39,0.11,0.00,0.11,0.11,0.11,0.06,0.09,0.15,0.06,0.15,Matches
59,Gabriel Barbosa,br BRA,"FW,MF",Cruzeiro,29-052,1996,23,6,778,8.6,6,2,8,5,1,2,4,0,4.9,3.3,1.0,4.3,12,29,37,0.69,0.23,0.93,0.58,0.81,0.56,0.12,0.68,0.38,0.50,Matches
60,Lucas Barbosa,br BRA,"FW,MF",RB Bragantino,24-241,2001,25,22,1609,17.9,2,2,4,2,0,0,8,1,4.3,4.3,1.2,5.5,33,32,114,0.11,0.11,0.22,0.11,0.22,0.24,0.07,0.31,0.24,0.31,Matches
61,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-219,1995,18,18,1607,17.9,0,0,0,0,0,0,12,0,0.5,0.5,0.1,0.5,15,75,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
62,Adam Bareiro,py PAR,FW,Fortaleza,29-087,1996,12,1,256,2.8,1,0,1,1,0,1,3,1,3.4,2.5,0.0,2.5,2,6,20,0.35,0.00,0.35,0.35,0.35,1.20,0.00,1.20,0.87,0.87,Matches
63,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,24-108,2001,27,16,1341,14.9,2,0,2,2,0,0,2,0,3.9,3.9,1.8,5.7,61,41,134,0.13,0.00,0.13,0.13,0.13,0.26,0.12,0.38,0.26,0.38,Matches
64,Álvaro Barreal,ar ARG,"FW,MF",Santos,25-065,2000,24,19,1579,17.5,7,1,8,7,0,0,2,0,5.0,5.0,2.8,7.8,23,51,134,0.40,0.06,0.46,0.40,0.46,0.28,0.16,0.45,0.28,0.45,Matches
65,Jordan Barrera,co COL,FW,Botafogo (RJ),19-193,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Cauan Barros,br BRA,MF,Vasco da Gama,21-168,2004,9,8,701,7.8,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,2,32,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
67,Enmerson Batalla,co COL,"FW,MF",Juventude,24-113,2001,22,17,1318,14.6,4,2,6,4,0,0,3,0,1.4,1.4,0.7,2.1,22,34,76,0.27,0.14,0.41,0.27,0.41,0.09,0.05,0.14,0.09,0.14,Matches
68,Paulo Baya,br BRA,FW,Ceará,26-087,1999,8,3,300,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,5,5,21,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,Matches
69,Paulo Baya,br BRA,"MF,FW",Fluminense,26-087,1999,4,0,38,0.4,1,1,2,1,0,0,0,0,0.0,0.0,0.0,0.1,2,1,4,2.37,2.37,4.74,2.37,4.74,0.12,0.03,0.15,0.12,0.15,Matches
70,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-221,1997,18,13,1187,13.2,2,2,4,2,0,0,0,0,0.9,0.9,1.6,2.4,16,33,90,0.15,0.15,0.30,0.15,0.30,0.07,0.12,0.18,0.07,0.18,Matches
71,Erick Belé,br BRA,MF,Palmeiras,18-273,2007,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Luis Benedetti,br BRA,DF,Palmeiras,19-136,2006,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
73,Alan Benítez,py PAR,"DF,FW",Internacional,31-269,1994,8,4,459,5.1,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,11,21,24,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,Matches
74,Alexandro Bernabei,ar ARG,DF,Internacional,25-027,2000,21,20,1817,20.2,0,4,4,0,0,0,7,1,0.9,0.9,4.4,5.3,45,93,136,0.00,0.20,0.20,0.00,0.20,0.04,0.22,0.26,0.04,0.26,Matches
75,Facundo Bernal,uy URU,MF,Fluminense,22-061,2003,15,9,830,9.2,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,3,28,8,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Bernard,br BRA,"MF,FW",Atlético Mineiro,33-043,1992,21,6,628,7.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,32,45,51,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24,Matches
77,Matheus Bianqui,br BRA,"MF,FW",Mirassol,27-263,1998,13,0,147,1.6,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,2,2,12,0.00,0.00,0.00,0.00,0.00,0.71,0.29,1.00,0.71,1.00,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,26-170,1999,19,16,1387,15.4,0,2,2,0,0,0,6,0,0.5,0.5,3.7,4.2,33,57,102,0.00,0.13,0.13,0.00,0.13,0.04,0.24,0.27,0.04,0.27,Matches
79,Biel,br BRA,"FW,MF",Atlético Mineiro,24-203,2001,13,4,446,5.0,0,2,2,0,0,0,1,0,1.4,1.4,2.2,3.6,19,12,49,0.00,0.40,0.40,0.00,0.40,0.29,0.43,0.72,0.29,0.72,Matches
80,Rafael Bilu,br BRA,"MF,FW",Juventude,26-183,1999,8,4,326,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,11,14,20,0.28,0.00,0.28,0.28,0.28,0.11,0.09,0.21,0.11,0.21,Matches
81,Damián Bobadilla,py PAR,MF,São Paulo,24-102,2001,23,15,1505,16.7,2,1,3,2,0,0,4,0,1.7,1.7,0.9,2.6,15,95,39,0.12,0.06,0.18,0.12,0.18,0.10,0.05,0.16,0.10,0.16,Matches
82,Yannick Bolasie,cd COD,"FW,MF",Cruzeiro,36-150,1989,14,0,143,1.6,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.8,2,2,12,0.00,0.63,0.63,0.00,0.63,0.30,0.20,0.49,0.30,0.49,Matches
83,Gabriel Bontempo,br BRA,"MF,FW",Santos,20-278,2005,20,9,922,10.2,1,1,2,1,0,0,1,0,1.4,1.4,1.6,3.1,21,52,25,0.10,0.10,0.20,0.10,0.20,0.14,0.16,0.30,0.14,0.30,Matches
84,Thiago Borbas,uy URU,"FW,MF",RB Bragantino,23-197,2002,16,5,556,6.2,1,1,2,1,0,0,4,0,1.9,1.9,0.8,2.7,2,8,30,0.16,0.16,0.32,0.16,0.32,0.30,0.13,0.44,0.30,0.44,Matches
85,Daniel Borges,br BRA,DF,Mirassol,32-212,1993,13,6,679,7.5,2,1,3,2,0,0,2,0,0.4,0.4,1.6,2.0,8,16,24,0.27,0.13,0.40,0.27,0.40,0.06,0.21,0.26,0.06,0.26,Matches
86,Marllon Borges,br BRA,DF,Ceará,33-188,1992,21,21,1890,21.0,2,0,2,2,0,0,2,0,0.5,0.5,0.0,0.5,2,33,1,0.10,0.00,0.10,0.10,0.10,0.02,0.00,0.02,0.02,0.02,Matches
87,Pedro Borges,br BRA,MF,Fortaleza,28-232,1997,1,0,37,0.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Pedro Borges,br BRA,MF,Sport Recife,28-232,1997,9,2,293,3.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3,11,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
89,Rafael Borré,co COL,FW,Internacional,30-036,1995,21,14,1211,13.5,5,1,6,4,1,1,2,1,6.2,5.2,1.1,6.3,15,14,74,0.37,0.07,0.45,0.30,0.37,0.46,0.08,0.54,0.39,0.47,Matches
90,Lucas Braga,br BRA,"FW,DF",Vitória,28-345,1996,16,11,867,9.6,1,0,1,1,0,0,1,0,1.7,1.7,0.7,2.4,22,26,44,0.10,0.00,0.10,0.10,0.10,0.18,0.07,0.25,0.18,0.25,Matches
91,Bilal Brahimi,dz ALG,FW,Santos,25-221,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,4,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28,Matches
92,Martin Braithwaite,dk DEN,FW,Grêmio,34-138,1991,18,18,1456,16.2,6,1,7,2,4,4,3,0,6.1,3.0,0.8,3.8,12,27,57,0.37,0.06,0.43,0.12,0.19,0.38,0.05,0.43,0.19,0.24,Matches
93,Gabriel Brazão,br BRA,GK,Santos,25-016,2000,28,28,2497,27.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
94,Brenno,br BRA,GK,Fortaleza,26-203,1999,5,5,450,5.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
95,Breno,br BRA,"FW,MF",Fortaleza,29-270,1996,22,19,1519,16.9,4,0,4,4,0,0,3,0,4.4,4.4,1.5,6.0,73,55,138,0.24,0.00,0.24,0.24,0.24,0.26,0.09,0.35,0.26,0.35,Matches
96,Breno,br BRA,MF,Corinthians,20-243,2005,26,24,2026,22.5,1,1,2,1,0,0,7,0,0.8,0.8,2.0,2.7,30,111,57,0.04,0.04,0.09,0.04,0.09,0.03,0.09,0.12,0.03,0.12,Matches
97,Emanuel Brítez,ar ARG,DF,Fortaleza,33-209,1992,11,11,967,10.7,0,1,1,0,0,0,7,0,0.1,0.1,0.1,0.3,5,38,15,0.00,0.09,0.09,0.00,0.09,0.01,0.01,0.03,0.01,0.03,Matches
98,Bruninho,br BRA,MF,Fortaleza,20-132,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches
99,Fabrício Bruno,br BRA,DF,Cruzeiro,29-251,1996,26,26,2340,26.0,2,0,2,2,0,0,5,0,1.1,1.1,0.6,1.7,9,86,2,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.07,0.04,0.07,Matches
100,Gustavo Caballero,py PAR,"FW,DF",Santos,24-030,2001,10,1,300,3.3,1,1,2,1,0,0,1,0,1.0,1.0,0.7,1.6,9,2,28,0.30,0.30,0.60,0.30,0.60,0.29,0.20,0.48,0.29,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Arthur Cabral,br BRA,FW,Botafogo (RJ),27-179,1998,13,12,1028,11.4,3,2,5,3,0,0,0,0,3.9,3.9,0.7,4.6,12,19,31,0.26,0.18,0.44,0.26,0.44,0.34,0.06,0.40,0.34,0.40,Matches
102,Cacá,br BRA,DF,Corinthians,26-179,1999,17,15,1342,14.9,2,0,2,2,0,0,4,0,1.1,1.1,0.2,1.3,8,36,3,0.13,0.00,0.13,0.13,0.13,0.07,0.02,0.09,0.07,0.09,Matches
103,Raúl Cáceres,py PAR,DF,Vitória,34-033,1991,15,15,1262,14.0,2,1,3,2,0,0,6,0,1.0,1.0,1.4,2.4,18,40,60,0.14,0.07,0.21,0.14,0.21,0.07,0.10,0.17,0.07,0.17,Matches
